id,Birth_y,Sex,LifeTime,LastLog_days_ago,LastPayment_days_ago,Sessions,Payments,Money,Level
1,1962,female,864,19,842,21,1,1,34
2,1972,female,499,2,4,489,25,"27,77",44
3,1970,male,334,18,334,5,1,"4,99",4
4,1962,male,149,19,145,512,2,"2,98",68
5,1956,male,150,2,103,327,4,"61,97",83
6,1964,male,491,3,9,403,21,"113,81",105
7,1967,male,285,3,200,634,2,"1,98",35
8,1970,female,121,1,90,261,7,"19,99",50
9,1958,female,326,3,253,1132,5,"9,95",807
10,1950,male,284,2,12,692,9,"32,9",30
11,1962,male,495,7,326,192,2,"1,98",11
12,1956,female,868,3,6,26,10,"28,9",52
13,1941,female,477,2,251,461,8,"23,92",16
14,1980,female,306,8,268,415,6,"14,92",50
15,1950,male,282,2,111,395,5,"42,97",52
16,1970,female,101,18,60,40,1,2,24
17,1948,male,60,2,60,55,1,2,34
18,1980,female,58,3,50,24,1,"0,99",18
19,1968,female,113,2,18,305,17,"187,83",103
20,1962,male,105,13,69,65,1,2,23
21,1930,female,133,8,121,12,1,"0,99",14
22,1956,female,109,20,28,21,5,"11,97",56
23,1947,female,499,2,12,984,20,"227,84",112
24,1952,male,131,2,8,302,66,"1146,59",217
25,1950,female,82,6,21,13,1,"0,99",11
26,1977,male,877,7,609,43,2,"3,98",9
27,1957,male,501,8,301,245,1,"4,99",22
28,1969,male,290,2,241,362,2,"1,98",29
29,1974,male,327,2,48,307,8,"18,93",44
30,1956,male,113,2,30,238,6,"183,95",134
31,1977,female,702,8,570,200,1,"4,99",20
32,1975,male,302,4,19,536,4,"10,98",43
33,1977,male,297,29,187,125,2,"5,98",13
34,1944,female,295,2,15,1039,22,"185,8",125
35,1965,male,92,9,85,56,2,"9,98",48
36,1953,,97,5,74,91,4,"12,96",48
37,1957,male,96,2,57,123,17,"183,87",259
38,1975,male,89,2,12,99,5,"17,95",64
39,1978,female,692,2,88,1227,3,"4,98",40
40,1947,female,83,25,82,17,1,"0,99",14
41,1970,male,60,23,33,6,1,2,35
42,1953,male,126,2,77,556,2,"11,98",131
43,1958,male,124,2,101,126,9,"74,93",133
44,1951,female,332,8,237,698,6,"42,91",43
45,1948,male,479,20,280,129,7,"341,92",80
46,1956,male,474,4,4,233,6,"23,95",27
47,1965,female,306,6,89,422,5,"34,97",65
48,1942,female,82,3,61,86,5,"19,96",44
49,1953,male,858,2,2,122,6,"54,95",63
50,1958,male,508,24,420,205,1,"0,99",13
51,1969,male,508,18,466,4,1,"0,99",2
52,1970,male,334,22,263,17,1,"9,99",18
53,1963,female,306,15,262,166,16,"84,83",21
54,1970,male,306,25,293,176,1,"5,98",28
55,1905,female,136,13,85,130,10,"37,9",83
56,1941,female,135,9,33,54,11,"55,9",80
57,1962,female,137,2,59,272,30,"295,73",292
58,1974,male,119,13,13,39,7,"66,94",72
59,1947,male,81,2,6,67,10,"66,9",95
60,1971,male,294,15,22,310,10,"83,97",98
61,1955,female,109,12,47,50,2,4,31
62,1947,female,489,22,447,149,1,"0,99",16
63,1970,female,328,3,4,28,1,"1,99",20
64,1947,female,287,3,177,480,10,"58,89",31
65,1968,,253,1,86,363,17,"39,83",557
66,1978,female,703,2,90,993,33,"158,66",60
67,1966,male,297,10,266,100,4,"21,96",19
68,1942,female,295,19,266,54,45,"1546,54",46
69,1972,female,94,12,34,36,7,"52,95",64
70,1955,male,714,18,681,159,1,"1,99",11
71,1969,female,713,18,428,744,1,"0,99",67
72,1962,male,672,2,21,135,11,"16,9",18
73,1972,male,306,21,281,317,3,"2,97",41
74,1970,male,297,12,188,128,1,"0,99",13
75,1970,male,331,1,233,1239,24,"163,75",36
76,1965,female,138,2,18,292,13,"84,94",157
77,1955,male,90,3,77,285,1,"4,99",15
78,1960,female,83,9,43,157,5,"16,95",50
79,1967,male,290,6,8,12,1,"0,99",4
80,1983,male,104,13,97,57,3,"7,98",38
81,1948,male,143,2,54,294,12,"56,89",76
82,1949,male,111,3,40,367,18,"599,91",549
83,1949,male,149,2,9,42,6,"17,97",62
84,1959,male,509,15,391,315,2,"6,98",33
85,1950,male,298,2,4,407,2,"2,99",25
86,1965,female,142,2,19,284,15,"65,92",542
87,1944,female,287,2,213,53,21,"125,79",10
88,1943,female,128,2,34,1367,31,"407,83",640
89,1942,female,845,2,50,361,8,"44,96",53
90,1980,male,254,22,29,89,14,"91,89",134
91,1970,male,339,2,61,669,12,"15,88",34
92,1970,male,323,4,40,420,40,"274,68",94
93,1966,male,116,2,2,378,37,"448,69",479
94,1971,male,115,12,33,51,4,"12,98",71
95,1954,male,106,10,55,15,1,"0,99",26
96,1945,female,105,17,36,77,3,"3,98",38
97,1977,male,70,10,31,33,2,"9,98",29
98,1944,male,502,21,363,35,3,"2,97",7
99,1962,male,331,4,15,81,22,"253,78",143
100,1974,female,286,16,226,52,5,"59,95",12
101,1981,male,135,5,6,134,17,"259,83",87
102,1963,male,137,11,117,10,6,"20,95",50
103,1956,female,100,1,24,100,1,"4,99",24
104,1943,male,893,6,94,13,4,"17,96",39
105,1969,male,327,2,68,336,7,"15,98",80
106,1979,female,149,7,7,49,21,"137,82",138
107,1949,female,136,7,84,367,10,"43,92",58
108,1956,female,128,10,34,105,21,"108,81",87
109,1969,male,109,6,22,150,23,"375,79",180
110,1963,male,85,2,75,126,3,"7,99",43
111,1956,female,83,3,31,27,1,"0,99",7
112,1936,female,306,9,98,136,4,"23,96",40
113,1975,male,124,2,9,392,10,"107,94",60
114,1975,male,117,2,61,421,8,"19,93",111
115,1979,male,98,8,98,42,1,"24,99",601
116,1973,male,94,8,8,55,53,"3229,48",494
117,1962,female,314,3,13,28,8,"69,92",145
118,1948,female,94,1,1,321,33,"581,91",201
119,1948,female,89,15,18,60,22,"172,84",144
120,1984,female,490,8,14,31,6,"11,96",64
121,1947,female,326,2,93,57,1,"0,99",16
122,1971,male,300,10,250,134,1,"0,99",18
123,1980,female,290,25,99,48,2,"14,98",24
124,1973,,280,24,24,137,91,"1029,11",190
125,1961,male,284,2,12,179,1,"0,99",13
126,1956,male,461,12,354,558,4,"61,96",80
127,1964,male,265,21,262,146,1,"4,99",11
128,1970,female,307,25,302,110,10,"125,9",17
129,1953,female,216,12,47,410,6,"51,94",41
130,1964,male,294,2,168,671,8,"202,92",692
131,1976,male,714,2,419,2458,22,"130,78",48
132,1970,female,140,7,42,111,10,"162,91",308
133,1959,male,92,2,2,185,112,"3721,02",436
134,1962,male,497,6,72,249,7,"25,94",58
135,1937,male,479,2,410,95,6,"26,94",10
136,1954,female,141,19,141,11,4,"12,96",23
137,1973,male,516,10,515,26,1,"0,99",10
138,1950,male,488,1,267,1173,3,"2,97",36
139,1957,female,122,3,94,141,2,"2,99",76
140,1970,male,326,2,2,49,8,"12,95",40
141,1958,male,306,10,229,49,3,"22,95",26
142,1947,male,297,6,293,21,1,"4,99",18
143,1970,male,336,2,20,1300,12,"105,9",156
144,1956,female,124,5,120,207,1,"0,99",19
145,1956,male,863,14,477,1152,6,"264,94",108
146,1968,male,540,2,153,762,3,"21,96",45
147,1967,male,334,2,251,316,2,"2,98",27
148,1970,female,327,23,326,14,2,"19,98",9
149,1956,male,311,8,311,2,1,"0,99",17
150,1957,male,308,19,128,99,22,"166,76",44
151,1980,male,666,8,138,29,1,"0,99",6
152,1959,female,122,11,22,154,15,"106,87",112
153,1959,female,113,12,16,7,3,"14,98",33
154,1969,male,552,12,331,36,1,"0,99",10
155,1951,female,265,2,8,523,16,"179,92",88
156,1952,male,211,2,187,331,4,"35,96",39
157,1951,female,181,3,167,161,1,"0,99",16
158,1961,male,56,2,49,110,2,"3,98",42
159,1958,male,281,23,201,156,24,"1449,75",20
160,1970,male,90,22,89,6,1,"4,99",17
161,1970,female,317,2,35,156,4,"11,97",29
162,1956,female,276,4,274,18,2,"9,98",10
163,1959,female,103,4,83,61,6,"22,95",52
164,1966,female,82,3,80,108,3,"14,99",40
165,1961,male,711,4,94,203,2,"1,98",49
166,1964,male,130,5,130,11,1,1,16
167,1970,male,321,9,313,21,2,"5,98",8
168,1958,male,887,24,42,28,1,"0,99",20
169,1948,male,297,2,241,581,3,"15,97",15
170,1974,male,83,23,83,7,1,"0,99",13
171,1943,female,861,3,234,155,1,"9,99",16
172,1948,male,482,3,240,468,3,"12,97",35
173,1970,female,326,18,317,148,1,"9,99",22
174,1963,female,307,4,279,33,9,"19,9",8
175,1962,female,139,3,74,84,3,"6,97",45
176,1966,female,304,2,197,353,6,"34,94",47
177,1954,male,327,2,18,409,7,"22,93",649
178,1977,male,121,23,95,404,9,"109,94",567
179,1936,male,262,2,13,786,44,"1054,56",190
180,1972,male,900,2,223,802,4,"21,96",22
181,1959,male,250,2,137,702,2,"2,99",20
182,1944,female,305,25,302,10,4,"34,96",7
183,1970,male,277,4,49,153,22,"94,77",56
184,1968,female,114,2,2,540,97,"787,09",180
185,1970,male,337,5,5,182,7,"49,95",46
186,1981,male,279,10,273,21,2,"5,98",8
187,1963,male,80,2,74,180,1,"1,99",31
188,1963,male,322,20,149,490,29,"433,69",38
189,1972,female,153,2,50,271,2,"2,99",29
190,1946,male,126,1,103,550,4,"21,97",53
191,1960,female,107,2,18,64,4,"40,97",92
192,1949,male,304,15,298,44,1,"9,98",11
193,1970,male,105,3,98,108,2,"6,99",38
194,1956,female,307,2,140,827,7,"27,93",99
195,1965,male,143,12,97,55,2,"2,99",34
196,1963,male,123,3,97,103,7,"37,94",66
197,1943,female,82,2,5,117,13,"183,92",121
198,1956,male,714,23,547,389,4,"51,96",39
199,1954,male,302,2,256,127,1,"0,99",6
200,1953,male,291,2,17,266,3,"14,97",55
201,1964,male,90,24,41,12,5,"30,95",67
202,1953,female,122,22,119,12,2,"44,98",70
203,1988,male,100,9,97,20,1,"9,99",18
204,1970,male,103,4,4,243,39,"262,66",122
205,1949,male,297,2,74,823,32,"88,75",47
206,2000,female,302,4,159,214,9,"37,91",35
207,1967,male,290,3,151,263,4,"35,96",46
